usage_id,project_id,equipment_id,usage_date,operating_hours,idle_hours,available_hours,fuel_consumed_litres,maintenance_cost_myr
USE001506,PRJ011,EQP011,2025-01-11,7.02,8.98,16.0,54.27,0.0
USE001507,PRJ011,EQP011,2025-01-15,1.73,6.27,8.0,32.93,0.0
USE001508,PRJ011,EQP011,2025-01-16,15.06,0.94,16.0,251.11,0.0
USE001509,PRJ011,EQP011,2025-01-18,5.48,10.52,16.0,115.89,3445.88
USE001510,PRJ011,EQP011,2025-01-20,3.81,8.19,12.0,44.58,0.0
USE001511,PRJ011,EQP011,2025-01-21,5.7,2.3,8.0,75.62,0.0
USE001512,PRJ011,EQP011,2025-01-22,1.53,14.47,16.0,19.07,0.0
USE001513,PRJ011,EQP011,2025-01-28,5.68,4.32,10.0,56.51,0.0
USE001514,PRJ011,EQP011,2025-01-29,3.43,8.57,12.0,69.98,0.0
USE001515,PRJ011,EQP011,2025-01-30,2.15,5.85,8.0,30.2,0.0
USE001516,PRJ011,EQP011,2025-02-02,8.07,1.93,10.0,71.45,0.0
USE001517,PRJ011,EQP011,2025-02-03,8.69,1.31,10.0,173.56,0.0
USE001518,PRJ011,EQP011,2025-02-07,8.35,3.65,12.0,130.07,0.0
USE001519,PRJ011,EQP011,2025-02-10,6.18,1.82,8.0,47.93,0.0
USE001520,PRJ011,EQP011,2025-02-12,8.57,1.43,10.0,109.37,0.0
USE001521,PRJ011,EQP011,2025-02-17,9.6,6.4,16.0,178.73,0.0
USE001522,PRJ011,EQP011,2025-02-26,2.28,5.72,8.0,28.17,0.0
USE001523,PRJ011,EQP011,2025-02-27,3.27,6.73,10.0,18.51,0.0
USE001524,PRJ011,EQP011,2025-02-28,6.25,1.75,8.0,128.15,0.0
USE001525,PRJ011,EQP011,2025-03-02,3.91,12.09,16.0,70.67,0.0
USE001526,PRJ011,EQP011,2025-03-05,9.73,2.27,12.0,58.53,0.0
USE001527,PRJ011,EQP011,2025-03-06,7.12,4.88,12.0,76.93,285.78
USE001528,PRJ011,EQP011,2025-03-11,5.61,4.39,10.0,49.91,0.0
USE001529,PRJ011,EQP011,2025-03-16,3.48,8.52,12.0,28.49,0.0
USE001530,PRJ011,EQP011,2025-03-17,16.94,7.06,24.0,352.29,647.49
USE001531,PRJ011,EQP011,2025-03-18,1.77,6.23,8.0,25.05,0.0
USE001532,PRJ011,EQP011,2025-03-19,4.94,3.06,8.0,99.32,0.0
USE001533,PRJ011,EQP011,2025-03-22,2.08,7.92,10.0,19.07,1836.25
USE001534,PRJ011,EQP011,2025-03-23,11.32,0.68,12.0,90.51,0.0
USE001535,PRJ011,EQP011,2025-03-26,6.72,1.28,8.0,39.73,2650.12
USE001536,PRJ011,EQP011,2025-03-27,7.71,2.29,10.0,80.51,0.0
USE001537,PRJ011,EQP011,2025-03-28,6.17,1.83,8.0,125.66,0.0
USE001538,PRJ011,EQP011,2025-03-29,2.89,9.11,12.0,41.2,0.0
USE001539,PRJ011,EQP011,2025-03-30,7.46,4.54,12.0,89.42,0.0
USE001540,PRJ011,EQP011,2025-04-01,1.72,8.28,10.0,15.84,0.0
USE001541,PRJ011,EQP011,2025-04-02,3.21,6.79,10.0,36.21,0.0
USE001542,PRJ011,EQP011,2025-04-05,4.03,5.97,10.0,40.71,0.0
USE001543,PRJ011,EQP011,2025-04-09,8.63,3.37,12.0,71.13,0.0
USE001544,PRJ011,EQP011,2025-04-10,9.31,2.69,12.0,88.8,0.0
USE001545,PRJ011,EQP011,2025-04-16,7.44,4.56,12.0,159.3,0.0
USE001546,PRJ011,EQP011,2025-04-20,6.73,5.27,12.0,141.72,2893.14
USE001547,PRJ011,EQP011,2025-04-25,5.29,2.71,8.0,39.89,0.0
USE001548,PRJ011,EQP011,2025-04-28,9.66,0.34,10.0,103.52,0.0
USE001549,PRJ011,EQP011,2025-04-30,2.62,7.38,10.0,19.78,0.0
USE001550,PRJ011,EQP011,2025-05-02,6.25,9.75,16.0,65.36,0.0
USE001551,PRJ011,EQP011,2025-05-05,7.37,2.63,10.0,156.89,0.0
USE001552,PRJ011,EQP011,2025-05-11,5.23,2.77,8.0,36.55,0.0
USE001553,PRJ011,EQP011,2025-05-14,9.83,2.17,12.0,101.7,0.0
USE001554,PRJ011,EQP011,2025-05-16,5.63,2.37,8.0,55.5,0.0
USE001555,PRJ011,EQP011,2025-05-19,7.61,2.39,10.0,98.64,0.0
USE001556,PRJ011,EQP011,2025-05-21,9.21,0.79,10.0,114.63,0.0
USE001557,PRJ011,EQP011,2025-05-25,11.08,0.92,12.0,175.21,2201.52
USE001558,PRJ011,EQP011,2025-05-26,21.73,2.27,24.0,154.75,2416.1
USE001559,PRJ011,EQP011,2025-05-28,5.02,4.98,10.0,80.22,0.0
USE001560,PRJ011,EQP011,2025-05-30,8.46,1.54,10.0,95.8,0.0
USE001561,PRJ011,EQP011,2025-05-31,9.37,2.63,12.0,145.13,0.0
USE001562,PRJ011,EQP011,2025-06-03,1.51,6.49,8.0,13.33,902.78
USE001563,PRJ011,EQP011,2025-06-06,3.91,8.09,12.0,43.75,0.0
USE001564,PRJ011,EQP011,2025-06-07,16.99,7.01,24.0,161.73,0.0
USE001565,PRJ011,EQP011,2025-06-09,4.23,3.77,8.0,63.47,3330.6
USE001566,PRJ011,EQP011,2025-06-10,1.65,8.35,10.0,24.32,0.0
USE001567,PRJ011,EQP011,2025-06-13,5.73,4.27,10.0,34.33,0.0
USE001568,PRJ011,EQP011,2025-06-15,5.94,2.06,8.0,44.66,0.0
USE001569,PRJ011,EQP011,2025-06-16,2.67,7.33,10.0,41.61,0.0
USE001570,PRJ011,EQP011,2025-06-17,4.51,5.49,10.0,37.35,0.0
USE001571,PRJ011,EQP011,2025-06-24,7.63,2.37,10.0,103.76,0.0
USE001572,PRJ011,EQP011,2025-06-25,9.47,6.53,16.0,202.2,0.0
USE001573,PRJ011,EQP011,2025-06-30,7.69,2.31,10.0,55.7,3202.16
USE001574,PRJ011,EQP011,2025-07-03,1.67,8.33,10.0,33.08,0.0
USE001575,PRJ011,EQP011,2025-07-04,3.1,6.9,10.0,52.02,0.0
USE001576,PRJ011,EQP011,2025-07-07,6.39,3.61,10.0,37.34,3465.86
USE001577,PRJ011,EQP011,2025-07-10,11.74,0.26,12.0,118.73,0.0
USE001578,PRJ011,EQP011,2025-07-15,3.25,8.75,12.0,39.73,0.0
USE001579,PRJ011,EQP011,2025-07-17,6.59,1.41,8.0,123.29,0.0
USE001580,PRJ011,EQP011,2025-07-19,4.42,3.58,8.0,85.25,0.0
USE001581,PRJ011,EQP011,2025-07-23,12.43,11.57,24.0,64.87,1288.68
USE001582,PRJ011,EQP011,2025-07-25,17.37,6.63,24.0,258.39,0.0
USE001583,PRJ011,EQP011,2025-07-27,4.73,5.27,10.0,85.38,0.0
USE001584,PRJ011,EQP011,2025-07-30,4.31,7.69,12.0,62.44,0.0
USE001585,PRJ011,EQP011,2025-08-01,7.97,2.03,10.0,156.55,1212.45
USE001586,PRJ011,EQP011,2025-08-02,8.26,7.74,16.0,85.05,0.0
USE001587,PRJ011,EQP011,2025-08-03,4.83,3.17,8.0,92.27,0.0
USE001588,PRJ011,EQP011,2025-08-05,6.85,9.15,16.0,53.25,0.0
USE001589,PRJ011,EQP011,2025-08-06,5.6,4.4,10.0,107.01,1113.93
USE001590,PRJ011,EQP011,2025-08-07,5.21,10.79,16.0,105.33,0.0
USE001591,PRJ011,EQP011,2025-08-08,7.21,8.79,16.0,103.17,0.0
USE001592,PRJ011,EQP011,2025-08-09,6.12,1.88,8.0,116.56,0.0
USE001593,PRJ011,EQP011,2025-08-11,4.93,7.07,12.0,74.51,0.0
USE001594,PRJ011,EQP011,2025-08-13,2.29,7.71,10.0,22.36,0.0
USE001595,PRJ011,EQP011,2025-08-14,3.28,8.72,12.0,35.21,0.0
USE001596,PRJ011,EQP011,2025-08-15,9.46,0.54,10.0,75.88,0.0
USE001597,PRJ011,EQP011,2025-08-16,6.66,3.34,10.0,102.17,0.0
USE001598,PRJ011,EQP011,2025-08-18,8.78,7.22,16.0,159.73,0.0
USE001599,PRJ011,EQP011,2025-08-19,12.88,3.12,16.0,85.25,0.0
USE001600,PRJ011,EQP011,2025-08-22,5.41,10.59,16.0,63.43,0.0
USE001601,PRJ011,EQP011,2025-08-24,5.98,6.02,12.0,75.52,0.0
USE001602,PRJ011,EQP011,2025-08-26,7.28,0.72,8.0,157.14,0.0
USE001603,PRJ011,EQP011,2025-08-27,3.02,6.98,10.0,41.19,0.0
USE001604,PRJ011,EQP011,2025-08-28,11.72,0.28,12.0,229.19,1519.52
USE001605,PRJ011,EQP011,2025-09-01,8.59,1.41,10.0,128.81,0.0
USE001606,PRJ011,EQP011,2025-09-03,5.43,4.57,10.0,44.06,0.0
USE001607,PRJ011,EQP011,2025-09-04,3.94,4.06,8.0,55.39,0.0
USE001608,PRJ011,EQP011,2025-09-06,6.24,1.76,8.0,33.72,2457.75
USE001609,PRJ011,EQP011,2025-09-08,8.22,1.78,10.0,119.57,0.0
USE001610,PRJ011,EQP011,2025-09-09,4.53,5.47,10.0,55.4,0.0
USE001611,PRJ011,EQP011,2025-09-10,11.12,0.88,12.0,55.69,0.0
USE001612,PRJ011,EQP011,2025-09-11,2.44,9.56,12.0,24.42,0.0
USE001613,PRJ011,EQP011,2025-09-15,4.73,5.27,10.0,42.86,0.0
USE001614,PRJ011,EQP011,2025-09-16,3.98,4.02,8.0,35.6,0.0
USE001615,PRJ011,EQP011,2025-09-19,9.28,0.72,10.0,92.4,781.84
USE001616,PRJ011,EQP011,2025-09-25,9.66,6.34,16.0,104.97,2944.63
USE001617,PRJ011,EQP011,2025-09-30,5.5,6.5,12.0,64.13,0.0
USE001618,PRJ011,EQP011,2025-10-02,3.11,4.89,8.0,64.46,0.0
USE001619,PRJ011,EQP011,2025-10-03,1.6,6.4,8.0,23.89,0.0
USE001620,PRJ011,EQP011,2025-10-05,12.62,11.38,24.0,101.17,3140.79
USE001621,PRJ011,EQP011,2025-10-10,5.05,4.95,10.0,85.61,0.0
USE001622,PRJ011,EQP011,2025-10-11,3.45,8.55,12.0,19.56,0.0
USE001623,PRJ011,EQP011,2025-10-14,6.64,1.36,8.0,143.55,0.0
USE001624,PRJ011,EQP011,2025-10-16,3.12,12.88,16.0,34.42,0.0
USE001625,PRJ011,EQP011,2025-10-17,4.74,11.26,16.0,77.35,0.0
USE001626,PRJ011,EQP011,2025-10-21,4.92,7.08,12.0,36.99,0.0
USE001627,PRJ011,EQP011,2025-10-23,1.92,10.08,12.0,35.86,0.0
USE001628,PRJ011,EQP011,2025-10-26,4.03,3.97,8.0,52.03,0.0
USE001629,PRJ011,EQP011,2025-10-31,6.0,4.0,10.0,58.27,0.0
USE001630,PRJ011,EQP011,2025-11-03,3.39,12.61,16.0,39.78,0.0
USE001631,PRJ011,EQP011,2025-11-06,5.13,6.87,12.0,50.62,3396.19
USE001632,PRJ011,EQP011,2025-11-07,6.0,2.0,8.0,120.83,3402.31
USE001633,PRJ011,EQP011,2025-11-11,8.17,1.83,10.0,86.34,0.0
USE001634,PRJ011,EQP011,2025-11-15,11.08,0.92,12.0,76.67,0.0
USE001635,PRJ011,EQP011,2025-11-20,5.25,6.75,12.0,76.05,0.0
USE001636,PRJ011,EQP011,2025-11-21,3.19,8.81,12.0,17.61,0.0
USE001637,PRJ011,EQP011,2025-11-25,6.9,3.1,10.0,43.08,0.0
USE001638,PRJ011,EQP011,2025-11-29,2.14,9.86,12.0,13.71,0.0
USE001639,PRJ011,EQP011,2025-12-02,9.87,0.13,10.0,125.05,0.0
USE001640,PRJ011,EQP011,2025-12-06,2.04,7.96,10.0,32.04,0.0
USE001641,PRJ011,EQP011,2025-12-07,8.37,1.63,10.0,179.2,0.0
USE001642,PRJ011,EQP011,2025-12-13,6.6,9.4,16.0,98.45,0.0
USE001643,PRJ011,EQP011,2025-12-14,4.16,5.84,10.0,46.4,0.0
USE001644,PRJ011,EQP011,2025-12-21,8.32,3.68,12.0,130.06,0.0
USE001645,PRJ011,EQP011,2025-12-22,1.52,6.48,8.0,11.98,0.0
USE001646,PRJ011,EQP011,2025-12-24,5.55,6.45,12.0,118.6,371.05
USE001647,PRJ011,EQP011,2025-12-26,5.54,2.46,8.0,79.22,0.0
USE001648,PRJ011,EQP011,2025-12-28,11.96,4.04,16.0,248.34,2450.79
USE001649,PRJ011,EQP011,2025-12-29,6.43,3.57,10.0,130.67,0.0
USE001650,PRJ011,EQP011,2025-12-30,7.14,2.86,10.0,108.91,0.0
USE001651,PRJ012,EQP012,2025-01-04,8.33,1.67,10.0,181.0,0.0
USE001652,PRJ012,EQP012,2025-01-06,4.22,7.78,12.0,81.06,0.0
USE001653,PRJ012,EQP012,2025-01-07,5.97,4.03,10.0,34.31,801.25
USE001654,PRJ012,EQP012,2025-01-13,11.93,0.07,12.0,156.17,247.47
USE001655,PRJ012,EQP012,2025-01-17,7.74,0.26,8.0,57.28,0.0
USE001656,PRJ012,EQP012,2025-01-18,6.11,3.89,10.0,104.99,1382.74
USE001657,PRJ012,EQP012,2025-01-19,2.0,10.0,12.0,11.14,1720.39
USE001658,PRJ012,EQP012,2025-01-20,5.35,4.65,10.0,31.92,0.0
USE001659,PRJ012,EQP012,2025-01-26,7.82,4.18,12.0,57.21,0.0
USE001660,PRJ012,EQP012,2025-01-27,2.5,13.5,16.0,20.56,1455.21
USE001661,PRJ012,EQP012,2025-01-28,7.83,0.17,8.0,141.11,0.0
USE001662,PRJ012,EQP012,2025-01-30,4.21,11.79,16.0,84.77,0.0
USE001663,PRJ012,EQP012,2025-02-02,13.33,2.67,16.0,138.73,0.0
USE001664,PRJ012,EQP012,2025-02-03,7.3,4.7,12.0,84.24,0.0
USE001665,PRJ012,EQP012,2025-02-06,4.13,3.87,8.0,22.56,0.0
USE001666,PRJ012,EQP012,2025-02-08,11.64,12.36,24.0,242.83,0.0
USE001667,PRJ012,EQP012,2025-02-11,11.89,0.11,12.0,200.97,0.0
USE001668,PRJ012,EQP012,2025-02-12,3.47,4.53,8.0,69.52,0.0
USE001669,PRJ012,EQP012,2025-02-18,6.43,1.57,8.0,49.43,0.0
USE001670,PRJ012,EQP012,2025-02-19,2.85,5.15,8.0,33.54,0.0
USE001671,PRJ012,EQP012,2025-02-20,6.39,1.61,8.0,88.55,0.0
USE001672,PRJ012,EQP012,2025-02-21,5.78,6.22,12.0,37.01,0.0
USE001673,PRJ012,EQP012,2025-02-23,6.26,1.74,8.0,69.24,0.0
USE001674,PRJ012,EQP012,2025-02-25,2.05,5.95,8.0,18.54,1379.35
USE001675,PRJ012,EQP012,2025-02-26,3.15,6.85,10.0,66.92,0.0
USE001676,PRJ012,EQP012,2025-03-01,5.93,6.07,12.0,50.3,0.0
USE001677,PRJ012,EQP012,2025-03-07,11.06,0.94,12.0,99.92,0.0
USE001678,PRJ012,EQP012,2025-03-08,1.5,10.5,12.0,27.84,0.0
USE001679,PRJ012,EQP012,2025-03-10,2.82,5.18,8.0,40.61,1246.45
USE001680,PRJ012,EQP012,2025-03-12,8.15,7.85,16.0,100.2,0.0
USE001681,PRJ012,EQP012,2025-03-13,5.33,4.67,10.0,51.23,0.0
USE001682,PRJ012,EQP012,2025-03-14,1.8,14.2,16.0,16.05,2419.12
USE001683,PRJ012,EQP012,2025-03-15,3.93,6.07,10.0,69.59,0.0
USE001684,PRJ012,EQP012,2025-03-16,1.97,8.03,10.0,31.74,0.0
USE001685,PRJ012,EQP012,2025-03-18,6.36,5.64,12.0,59.22,0.0
USE001686,PRJ012,EQP012,2025-03-20,10.86,1.14,12.0,235.25,0.0
USE001687,PRJ012,EQP012,2025-03-27,7.15,8.85,16.0,142.98,0.0
USE001688,PRJ012,EQP012,2025-03-28,3.28,8.72,12.0,44.18,1294.0
USE001689,PRJ012,EQP012,2025-04-04,10.76,1.24,12.0,204.88,0.0
USE001690,PRJ012,EQP012,2025-04-05,7.25,4.75,12.0,79.18,3191.99
USE001691,PRJ012,EQP012,2025-04-08,4.58,11.42,16.0,92.33,0.0
USE001692,PRJ012,EQP012,2025-04-10,2.16,7.84,10.0,17.39,0.0
USE001693,PRJ012,EQP012,2025-04-13,3.78,8.22,12.0,42.58,1186.26
USE001694,PRJ012,EQP012,2025-04-18,4.97,7.03,12.0,89.77,0.0
USE001695,PRJ012,EQP012,2025-04-23,6.17,3.83,10.0,126.08,0.0
USE001696,PRJ012,EQP012,2025-04-28,6.59,3.41,10.0,69.34,0.0
USE001697,PRJ012,EQP012,2025-04-30,5.42,2.58,8.0,108.08,0.0
USE001698,PRJ012,EQP012,2025-05-02,3.99,6.01,10.0,45.94,0.0
USE001699,PRJ012,EQP012,2025-05-03,3.57,4.43,8.0,28.19,0.0
USE001700,PRJ012,EQP012,2025-05-04,11.92,0.08,12.0,196.53,0.0
USE001701,PRJ012,EQP012,2025-05-05,10.61,1.39,12.0,181.84,0.0
USE001702,PRJ012,EQP012,2025-05-07,3.57,8.43,12.0,40.57,0.0
USE001703,PRJ012,EQP012,2025-05-09,7.69,2.31,10.0,81.56,176.33
USE001704,PRJ012,EQP012,2025-05-10,13.43,2.57,16.0,134.27,0.0
USE001705,PRJ012,EQP012,2025-05-11,9.84,0.16,10.0,181.16,0.0
USE001706,PRJ012,EQP012,2025-05-16,7.75,2.25,10.0,167.27,0.0
USE001707,PRJ012,EQP012,2025-05-18,5.89,4.11,10.0,54.04,0.0
USE001708,PRJ012,EQP012,2025-05-19,9.85,0.15,10.0,93.65,0.0
USE001709,PRJ012,EQP012,2025-05-20,3.19,6.81,10.0,64.31,1497.84
USE001710,PRJ012,EQP012,2025-05-23,1.92,8.08,10.0,20.93,2012.45
USE001711,PRJ012,EQP012,2025-05-28,14.63,9.37,24.0,140.64,0.0
USE001712,PRJ012,EQP012,2025-05-29,2.46,5.54,8.0,27.04,224.56
USE001713,PRJ012,EQP012,2025-05-30,2.68,5.32,8.0,51.04,0.0
USE001714,PRJ012,EQP012,2025-05-31,14.33,1.67,16.0,282.03,0.0
USE001715,PRJ012,EQP012,2025-06-02,5.17,4.83,10.0,32.86,0.0
USE001716,PRJ012,EQP012,2025-06-03,8.6,3.4,12.0,96.35,1144.94
USE001717,PRJ012,EQP012,2025-06-07,8.97,3.03,12.0,168.43,0.0
USE001718,PRJ012,EQP012,2025-06-09,4.46,5.54,10.0,24.89,0.0
USE001719,PRJ012,EQP012,2025-06-10,7.73,4.27,12.0,68.04,2146.86
USE001720,PRJ012,EQP012,2025-06-15,3.72,4.28,8.0,55.51,0.0
USE001721,PRJ012,EQP012,2025-06-16,2.57,5.43,8.0,28.19,0.0
USE001722,PRJ012,EQP012,2025-06-17,1.67,8.33,10.0,19.69,890.41
USE001723,PRJ012,EQP012,2025-06-19,11.23,4.77,16.0,173.16,2597.59
USE001724,PRJ012,EQP012,2025-06-20,7.03,2.97,10.0,85.37,0.0
USE001725,PRJ012,EQP012,2025-06-23,5.7,6.3,12.0,119.41,1964.16
USE001726,PRJ012,EQP012,2025-06-25,5.76,4.24,10.0,105.17,0.0
USE001727,PRJ012,EQP012,2025-06-27,5.89,4.11,10.0,60.24,0.0
USE001728,PRJ012,EQP012,2025-06-29,20.96,3.04,24.0,273.26,1296.32
USE001729,PRJ012,EQP012,2025-07-01,9.93,0.07,10.0,83.72,0.0
USE001730,PRJ012,EQP012,2025-07-02,7.04,2.96,10.0,145.63,0.0
USE001731,PRJ012,EQP012,2025-07-03,2.34,5.66,8.0,33.16,0.0
USE001732,PRJ012,EQP012,2025-07-04,5.53,6.47,12.0,44.13,0.0
USE001733,PRJ012,EQP012,2025-07-06,6.02,17.98,24.0,61.94,1090.66
USE001734,PRJ012,EQP012,2025-07-10,10.16,5.84,16.0,210.17,0.0
USE001735,PRJ012,EQP012,2025-07-11,5.02,4.98,10.0,66.6,0.0
USE001736,PRJ012,EQP012,2025-07-12,6.52,1.48,8.0,57.84,0.0
USE001737,PRJ012,EQP012,2025-07-13,7.18,2.82,10.0,88.57,0.0
USE001738,PRJ012,EQP012,2025-07-16,3.15,8.85,12.0,35.7,1201.85
USE001739,PRJ012,EQP012,2025-07-27,3.08,6.92,10.0,60.93,0.0
USE001740,PRJ012,EQP012,2025-07-28,6.64,1.36,8.0,58.91,0.0
USE001741,PRJ012,EQP012,2025-08-07,4.99,5.01,10.0,84.77,0.0
USE001742,PRJ012,EQP012,2025-08-08,2.9,13.1,16.0,42.7,0.0
USE001743,PRJ012,EQP012,2025-08-09,2.39,7.61,10.0,43.5,0.0
USE001744,PRJ012,EQP012,2025-08-10,2.09,9.91,12.0,18.44,0.0
USE001745,PRJ012,EQP012,2025-08-11,1.64,6.36,8.0,33.66,0.0
USE001746,PRJ012,EQP012,2025-08-14,4.49,3.51,8.0,90.26,786.33
USE001747,PRJ012,EQP012,2025-08-16,20.71,3.29,24.0,296.71,0.0
USE001748,PRJ012,EQP012,2025-08-21,8.82,1.18,10.0,145.43,1325.66
USE001749,PRJ012,EQP012,2025-08-23,6.24,1.76,8.0,100.02,0.0
USE001750,PRJ012,EQP012,2025-09-08,9.43,2.57,12.0,150.34,0.0
USE001751,PRJ012,EQP012,2025-09-09,5.12,2.88,8.0,45.0,2520.19
USE001752,PRJ012,EQP012,2025-09-13,3.55,8.45,12.0,48.35,1891.13
USE001753,PRJ012,EQP012,2025-09-16,2.84,5.16,8.0,61.06,0.0
USE001754,PRJ012,EQP012,2025-09-19,4.0,6.0,10.0,71.45,0.0
USE001755,PRJ012,EQP012,2025-09-20,6.79,5.21,12.0,144.81,0.0
USE001756,PRJ012,EQP012,2025-09-23,8.75,3.25,12.0,113.19,2303.0
USE001757,PRJ012,EQP012,2025-09-26,15.69,0.31,16.0,207.34,0.0
USE001758,PRJ012,EQP012,2025-09-30,8.69,1.31,10.0,148.37,0.0
USE001759,PRJ012,EQP012,2025-10-02,2.5,9.5,12.0,38.27,0.0
USE001760,PRJ012,EQP012,2025-10-03,4.28,5.72,10.0,42.26,2899.41
USE001761,PRJ012,EQP012,2025-10-04,8.02,1.98,10.0,50.28,0.0
USE001762,PRJ012,EQP012,2025-10-06,3.01,6.99,10.0,58.16,2407.56
USE001763,PRJ012,EQP012,2025-10-08,5.47,6.53,12.0,88.67,0.0
USE001764,PRJ012,EQP012,2025-10-09,5.5,4.5,10.0,48.41,0.0
USE001765,PRJ012,EQP012,2025-10-14,5.16,6.84,12.0,87.96,0.0
USE001766,PRJ012,EQP012,2025-10-17,6.85,3.15,10.0,55.56,3431.88
USE001767,PRJ012,EQP012,2025-10-22,4.1,7.9,12.0,53.15,0.0
USE001768,PRJ012,EQP012,2025-10-23,4.46,5.54,10.0,55.34,0.0
USE001769,PRJ012,EQP012,2025-10-25,2.91,5.09,8.0,63.29,0.0
USE001770,PRJ012,EQP012,2025-10-26,3.72,8.28,12.0,45.88,1346.02
USE001771,PRJ012,EQP012,2025-10-27,4.12,7.88,12.0,62.94,389.18
USE001772,PRJ012,EQP012,2025-10-28,6.49,9.51,16.0,129.94,0.0
USE001773,PRJ012,EQP012,2025-10-30,23.81,0.19,24.0,445.06,0.0
USE001774,PRJ012,EQP012,2025-11-01,2.35,9.65,12.0,48.48,0.0
USE001775,PRJ012,EQP012,2025-11-03,15.56,0.44,16.0,295.69,0.0
USE001776,PRJ012,EQP012,2025-11-04,7.55,4.45,12.0,43.15,0.0
USE001777,PRJ012,EQP012,2025-11-06,5.46,6.54,12.0,69.65,0.0
USE001778,PRJ012,EQP012,2025-11-13,6.26,17.74,24.0,84.63,0.0
USE001779,PRJ012,EQP012,2025-11-14,2.66,7.34,10.0,44.9,0.0
USE001780,PRJ012,EQP012,2025-11-15,12.07,3.93,16.0,89.29,2231.92
USE001781,PRJ012,EQP012,2025-11-16,8.95,3.05,12.0,140.4,0.0
USE001782,PRJ012,EQP012,2025-11-17,9.76,6.24,16.0,72.87,0.0
USE001783,PRJ012,EQP012,2025-11-19,4.59,7.41,12.0,34.62,0.0
USE001784,PRJ012,EQP012,2025-11-21,4.12,3.88,8.0,56.18,0.0
USE001785,PRJ012,EQP012,2025-11-28,3.07,4.93,8.0,67.19,0.0
USE001786,PRJ012,EQP012,2025-12-01,12.58,11.42,24.0,234.8,0.0
USE001787,PRJ012,EQP012,2025-12-02,2.09,7.91,10.0,44.35,0.0
USE001788,PRJ012,EQP012,2025-12-03,6.96,5.04,12.0,64.25,0.0
USE001789,PRJ012,EQP012,2025-12-05,4.5,3.5,8.0,22.62,0.0
USE001790,PRJ012,EQP012,2025-12-06,9.19,0.81,10.0,193.86,0.0
USE001791,PRJ012,EQP012,2025-12-07,8.93,7.07,16.0,115.89,0.0
USE001792,PRJ012,EQP012,2025-12-08,6.72,3.28,10.0,142.05,0.0
USE001793,PRJ012,EQP012,2025-12-09,9.71,0.29,10.0,144.22,0.0
USE001794,PRJ012,EQP012,2025-12-15,7.47,0.53,8.0,96.98,0.0
USE001795,PRJ012,EQP012,2025-12-16,3.29,6.71,10.0,37.59,0.0
USE001796,PRJ012,EQP012,2025-12-20,8.53,1.47,10.0,152.18,0.0
USE001797,PRJ012,EQP012,2025-12-24,10.36,5.64,16.0,98.5,0.0
USE001798,PRJ012,EQP012,2025-12-26,11.79,0.21,12.0,190.36,0.0
USE001799,PRJ012,EQP012,2025-12-27,15.72,0.28,16.0,188.25,0.0
USE001800,PRJ012,EQP012,2025-12-28,3.6,4.4,8.0,38.88,0.0
USE001801,PRJ001,EQP013,2025-01-01,6.09,1.91,8.0,115.0,0.0
USE001802,PRJ001,EQP013,2025-01-02,4.2,11.8,16.0,25.52,0.0
USE001803,PRJ001,EQP013,2025-01-04,8.07,1.93,10.0,171.23,2864.91
USE001804,PRJ001,EQP013,2025-01-06,8.14,3.86,12.0,168.75,0.0
USE001805,PRJ001,EQP013,2025-01-09,10.56,1.44,12.0,117.26,0.0
USE001806,PRJ001,EQP013,2025-01-12,1.67,6.33,8.0,23.33,0.0
USE001807,PRJ001,EQP013,2025-01-15,5.44,6.56,12.0,27.85,0.0
USE001808,PRJ001,EQP013,2025-01-20,7.67,2.33,10.0,144.56,0.0
USE001809,PRJ001,EQP013,2025-01-21,9.34,2.66,12.0,137.16,0.0
USE001810,PRJ001,EQP013,2025-01-27,20.41,3.59,24.0,335.11,0.0
USE001811,PRJ001,EQP013,2025-01-31,2.49,9.51,12.0,25.99,0.0
USE001812,PRJ001,EQP013,2025-02-01,5.68,6.32,12.0,60.09,3010.49
USE001813,PRJ001,EQP013,2025-02-04,10.04,1.96,12.0,117.66,1755.46
USE001814,PRJ001,EQP013,2025-02-10,3.85,4.15,8.0,51.46,0.0
USE001815,PRJ001,EQP013,2025-02-16,2.81,7.19,10.0,34.41,0.0
USE001816,PRJ001,EQP013,2025-02-17,4.87,11.13,16.0,70.71,0.0
USE001817,PRJ001,EQP013,2025-02-18,10.68,1.32,12.0,140.02,0.0
USE001818,PRJ001,EQP013,2025-02-19,12.93,3.07,16.0,94.09,0.0
USE001819,PRJ001,EQP013,2025-02-21,9.75,0.25,10.0,99.21,2190.17
USE001820,PRJ001,EQP013,2025-02-26,8.42,1.58,10.0,148.39,0.0
USE001821,PRJ001,EQP013,2025-02-28,14.94,1.06,16.0,282.39,0.0
USE001822,PRJ001,EQP013,2025-03-01,6.35,3.65,10.0,136.88,923.71
USE001823,PRJ001,EQP013,2025-03-06,7.04,0.96,8.0,36.75,0.0
USE001824,PRJ001,EQP013,2025-03-07,6.54,5.46,12.0,76.49,0.0
USE001825,PRJ001,EQP013,2025-03-08,8.14,3.86,12.0,87.8,0.0
USE001826,PRJ001,EQP013,2025-03-13,5.28,10.72,16.0,99.95,0.0
USE001827,PRJ001,EQP013,2025-03-15,3.45,6.55,10.0,21.86,0.0
USE001828,PRJ001,EQP013,2025-03-17,2.45,5.55,8.0,29.85,0.0
